Month,TotalSales
2022-01,111117.32476334664
2022-02,386962.87844786065
2022-03,117975.68
2022-04,148346.14
2022-05,86382.94
2022-06,42287.34
2022-07,136781.0
2022-08,201883.56119004378
2022-09,238519.8
2022-10,388428.98
2022-11,177990.11
2022-12,269569.64
2023-01,342779.13
2023-02,93527.28141385422
2023-03,70959.67
2023-04,77968.66
2023-05,144959.40326229171
2023-06,70866.36
2023-07,67466.02
2023-08,83094.04299784904
2023-09,83719.31
2023-10,243513.50184410525
2023-11,230102.35465669233
2023-12,181317.59
2024-01,175123.13999999998
2024-02,58542.64
2024-03,52877.67
2024-04,202735.36232112162
2024-05,184596.27
2024-06,123124.0
2024-07,262227.18
2024-08,89765.03
2024-09,182187.27
2024-10,144149.95
2024-11,269170.2
2024-12,172127.82
